paper_id,title,study_type,is_nanoplastic_only,has_blood_serum_plasma_biomarkers,experimental_model,species,sex,exposure_route,exposure_duration,dose_groups,polymer_types,particle_shape,particle_size,blood_matrix,biomarkers.ALT,biomarkers.AST,biomarkers.ALP,biomarkers.GGT,biomarkers.HDL,biomarkers.LDL,biomarkers.cholesterol_total,biomarkers.triglycerides,biomarkers.glucose,biomarkers.urea,biomarkers.creatinine,biomarkers.bilirubin,biomarkers.MDA,biomarkers.AOPP,biomarkers.PAB,biomarkers.HNE
6c8a5abafbf4c721,"Impact of dietary exposure to polyester microfibers on hematology, serology and histology in a mouse model",in_vivo,False,True,albino mice,mouse,,diet (in feed),['35 days'],"['FL-100: 100 µg/day per mouse', 'FL-200: 200 µg/day per mouse', 'FL-400: 400 µg/day per mouse', 'FL-800: 800 µg/day per mouse']",['polyester'],fiber,length ~0.07 mm,serum,increased,increased,increased,,,,,,,increased,increased,increased,,,,
877a3aeb9c70cc4d,Lipidomics and transcriptomics insight into impacts of microplastics exposure on hepatic lipid metabolism in mice,in_vivo,False,True,C57BL/6 mice,mouse,male,drinking water,['8 weeks'],"['control (water alone)', 'low-dose 100 μg/L', 'high-dose 1000 μg/L']",['polystyrene (PS)'],microspheres,1 μm,serum and blood,,,,,,,,no_change,"decreased fasting (high-dose); increased during GTT (30, 60 min) with increased GTT AUC",,,,,,,
5c5e3f3ccb701451,99m Tc-DMSA and 99m Tc-DTPA identified renal dysfunction due to microplastic polyethylene in murine model,in_vivo,False,True,C57BL/6J mice,mouse,female,oral,['12 weeks'],"['Control (PBS)', 'PE 100 ppm (~0.1 mg/mL)/100 μL daily']",['polyethylene'],Fragmented (accumulated in kidney); original shape not reported,20.49 ± 0.52 μm,serum,,,,,,,,,,,increased,,,,,
a4ca7bd447d8538e,Chronic exposure to polyvinyl chloride microplastics induces liver injury and gut microbiota dysbiosis based on the integration of liver transcriptome profiles and full-length 16S rRNA sequencing data,in_vivo,False,True,mouse,C57BL/6 mouse,male,oral gavage,['60 days'],"['0.5 mg/day PVC-MPs', 'saline control']",['PVC'],approximately circular,2.08 ± 0.21 μm,serum,increased,increased,,,,,decreased,decreased,,,,,,,,
0a5ad870615a1ff4,Advances in investigating microcystin-induced liver toxicity and underlying mechanisms,in_vivo,True,False,zebrafish,zebrafish,,,[],[],[],,,,,,,,,,,,,,,,,,,
8e42e960b3a8a1de,Polystyrene microplastic exposure modulates gut microbiota and gut-liver axis in gilthead seabream (Sparus aurata),in_vivo,False,True,fish (gilthead seabream),Sparus aurata (gilthead seabream),,oral (dietary),['21 days'],"['Control: standard diet', 'PS1: 25 mg/kg b.w./day PS-MPs', 'PS2: 250 mg/kg b.w./day PS-MPs']",['polystyrene'],spherical,1-20 μm,serum,,,,,,,no_change,increased,,,,,,,,
3c4864d8bd7a3b07,Co-exposure to polystyrene microplastics and lead aggravated ovarian toxicity in female mice via the PERK/eIF2α signaling pathway,in_vivo,True,True,C57BL/6 mice,mouse,female,gavage (PS-MPs); Pb via drinking water,['28 days'],"['control', 'PS-MPs group (0.1 mg/d/mouse PS-MPs)', 'Pb group (1 g/L Pb)', 'PM group (0.1 mg/d/mouse PS-MPs + 1 g/L Pb)']",['polystyrene'],spherical,100 nm,serum,,,,,,,,,,,,,increased,,,
b08e1d2fb4a879b4,Ecotoxicology and Environmental Safety,in_vivo,False,True,C57BL/6 mice,mouse,both,oral gavage,['28 days'],['2 mg/kg/d'],['polystyrene (PS)'],irregular,<50 μm; aged average 27 ± 7 μm,serum,,,,,,decreased (females only),,,,,,,,,,
f94dd31dbc209358,Intestinal flora variation reflects the short-term damage of microplastic to the intestinal tract in mice,in_vivo,False,True,Kunming mice,mouse,,gavage (oral),['7 days'],"['Control: 0.2 mL ddH2O/day (oral)', 'PE: 20 mg/mL, 0.2 mL/day by gavage for 7 days', 'PP: 20 mg/mL, 0.2 mL/day by gavage for 7 days', 'PS: 20 mg/mL, 0.2 mL/day by gavage for 7 days', 'PVC: 20 mg/mL, 0.2 mL/day by gavage for 7 days', 'PET: 20 mg/mL, 0.2 mL/day by gavage for 7 days']","['PE', 'PP', 'PS', 'PVC', 'PET']",irregular; rough surfaces,"150-300 μm (diameter, mainly)",serum,,,,,no significant difference vs control,no significant difference vs control,no significant difference vs control,increased in PET and PVC vs control,,,,,,,,
b15ada9c97d46a91,Exposure of Cyprinus carpio var. larvae to PVC microplastics reveals significant immunological alterations and irreversible histological organ damage,in_vivo,False,True,Cyprinus carpio var. larvae,Cyprinus carpio var.,,dietary,['60 days'],"['control (0%)', '10% microplastics by weight', '20% microplastics by weight', '30% microplastics by weight']",['PVC'],,100-200 µm,serum,,,,,,,,,,,,,,,,
d6b67c094826eda3,Short term exposure to polystyrene nanoplastics in mice evokes self-regulation of glycolipid metabolism,in_vivo,True,True,ICR mice,mouse,male,gavage,['7 days'],"['PS NPs 50 mg/kg/day', 'aPS NPs 50 mg/kg/day', 'control (water)']",['polystyrene'],spherical,PS NPs 158.8 ± 1.3 nm; aPS NPs 117.0 ± 1.8 nm,serum,,,,,increased,decreased,increased,increased,increased,,,,,,,
c430bb89d5c43933,Combined exposure to polyvinyl chloride and polystyrene microplastics induces liver injury and perturbs gut microbial and serum metabolic homeostasis in mice,in_vivo,False,True,C57BL/6J mice,mouse,male,oral gavage,['60 days'],"['Control: saline', 'PS-PVC: PS 1 μm 0.5 mg/day + PVC 2 μm 0.5 mg/day, 60 days oral gavage']","['polystyrene', 'polyvinyl chloride', 'polystyrene (PS)', 'polyvinyl chloride (PVC)']",,PS 1 μm; PVC 2 μm,serum,increased,increased,,,,,increased,increased,,,,,,,,
bce4271941640534,PS-MPs promotes the progression of inflammation and fibrosis in diabetic nephropathy through NLRP3/Caspase-1 and TGF-β1/Smad2/3 signaling pathways,in_vivo,False,True,db/db mice (with db/m controls),Mouse,male,oral,"['12 weeks', '3 months']",[],['Polystyrene (PS)'],beads,0.5 μm diameter,serum,,,,,,,,,increased,increased,increased,,,,,
29923eeb756dd504,Polyethylene terephthalate microplastics affect gut microbiota distribution and intestinal damage in mice,in_vivo,False,True,C57BL/6 mice,mouse,male,oral gavage,"['14 days', '28 days']","['0 mg/kg bw (control)', '10 mg/kg bw', '50 mg/kg bw', '250 mg/kg bw']",['PET'],irregular,4-20 μm,serum,increased,no_change,,,,,no_change,no_change,increased,,,,,,,
db31f1ccc9bf1f34,Microplastics and nanoplastics co-exposure modulates chromium bioaccumulation and physiological responses in rats,in_vivo,False,True,Wistar rats,rat,,oral gavage,['28 days'],"['control: 1 mL tap water by oral gavage, weekly for 28 days', 'MNPs: 1 mL MNPs by oral gavage, weekly for 28 days; 1.4 mg/week (200 µg/day equivalent)', 'Cr(VI): 1 mL K2Cr2O7 by oral gavage, weekly for 28 days; 8 µg/week (1.14 µg/day)', 'MNPs + Cr(VI): 1 mL MNPs + K2Cr2O7 by oral gavage, weekly for 28 days']",['polystyrene'],,"7 µm (micro), 100 nm (nano)",serum,no_change,no_change,,,,,increased,,no_change,,increased,no_change,,,,
e423632c3d90a0e4,Maternal exposure to different sizes of polystyrene microplastics during gestation causes metabolic disorders in their offspring *,in_vivo,False,True,Maternal exposure during gestation in mice; F1 offspring analyzed,mouse (ICR),both,drinking water,['gestation (GD 0 to production day)'],"['0.5 mm-100 mg/L', '0.5 mm-1000 mg/L', '5 mm-100 mg/L', '5 mm-1000 mg/L']",['polystyrene'],not reported,0.5 mm and 5 mm,serum,,,,,"female: no significant change; male: decreased in 0.5 mm-L, 0.5 mm-H, 5 mm-H",female: no significant change; male: increased,female: downward trend (not significant); male: increased significantly in each MPs-treated group,female: decreased (significant in 5 mm-L and 5 mm-H); male: decreased significantly in each test group,,,,,,,,
c4f39ca4cf692877,Why do microplastics aggravate cholestatic liver disease? The NLRP3-mediated intestinal barrier integrity damage matter ☆,in_vivo,False,True,Mdr2 −/− mice (cholestatic liver disease model),mouse,male,gavage,['28 days'],"['Mdr2−/− + PS-MPs: 0.5 μm polystyrene at 200 μg/day by gavage for 28 days', 'Mdr2−/− control (no PS-MPs)', 'Mdr2−/− + PS-MPs + MCC950: MCC950 10 mg/kg i.p. on days 0, 1, 2, 4 and every two days thereafter', 'Mdr2−/− + MCC950: MCC950 10 mg/kg i.p. on days 0, 1, 2, 4 and every two days thereafter']",['polystyrene'],,0.5 μm,serum,increased,increased,increased,increased,,,,,,,,,,,,
2807b0c5d5bbd115,Unraveling the impact of micro-and nano-sized polymethyl methacrylate on gut microbiota and liver lipid metabolism: Insights from oral exposure studies ☆,in_vivo,False,True,C57BL/6J mice,mouse,female,oral (drinking water),['60 days (8 weeks)'],"['Control (regular drinking water)', 'PMMA-NP 100 nm at 200 μg/L in drinking water', 'PMMA-MP 2 μm at 200 μg/L in drinking water']",['PMMA'],spherical,100 nm and 2 μm,serum,increased,increased,,,decreased,increased,increased,no significant change,,,,,increased,,,
d94220e7d45fadf2,Impact of food matrices on the characteristics and cellular toxicities of ingested nanoplastics in a simulated digestive tract,in_vitro,True,False,Caco-2 cells,Caco-2 cells,,Cell culture media exposure to digested PS-NPs applied to Caco-2 cells,"['24 h', '48 h', '72 h']","['PS-NPs: 0, 10.84, 21.68 μg/mL (applied via final intestinal digesta in DMEM)', 'Cadmium: 2.7 nM (co-exposure with PS-NPs 10.84 μg/mL), with and without in vitro gastrointestinal digestion']",['polystyrene'],spherical,50 nm,,,,,,,,,,,,,,,,,
a216176d2108b7ff,Polystyrene microplastics facilitate renal fibrosis through accelerating tubular epithelial cell senescence,in_vivo,False,True,BALB/C mice,mouse,male,oral gavage,"['4 weeks', '28 days']","['Control', '0.5 mg/day PS', '0.5 mg/day PS-SO3H', '0.5 mg/day PS-NH2']","['polystyrene (PS)', 'amino-modified polystyrene (PS-NH2)', 'sulfonic-modified polystyrene (PS-SO3H)']",spherical,5 μm,serum,,,,,,,,,,increased in PS-NH2 group; no significant change in PS or PS-SO3H,increased in PS-SO3H and PS-NH2 groups,,,,,
147f8d87ebdc7eeb,Sub-chronic exposure of Oreochromis niloticus to environmentally relevant concentrations of smaller microplastics: Accumulation and toxico-physiological responses,in_vivo,False,True,fish,Oreochromis niloticus,,,['14 days'],"['control', '0.01 mg/L', '0.1 mg/L', '1 mg/L']",['polystyrene'],spherical,1 μm,serum,increased,,,,,,,,increased,,,,,,,
d482a506bd44009d,Enhanced hepatic metabolic perturbation of polystyrene nanoplastics by UV irradiation-induced hydroxyl radical generation,in_vivo,True,True,male ICR mice,mouse,male,oral gavage,['28 days'],"['PS NPs 50 mg/(kg·day)', 'aPS NPs 50 mg/(kg·day)', 'control (DDW)']",['Polystyrene'],spherical,100 nm,serum,decrease,decrease,,,decrease,increase,increase,increase,increase,,,,,,,
48e118ebe17a0dd4,Probiotics ameliorate polyethylene microplastics-induced liver injury by inhibition of oxidative stress in Nile tilapia (Oreochromis niloticus),in_vivo,False,True,fish,Nile tilapia (Oreochromis niloticus),,waterborne,['2 weeks'],"['Control (no PS-MPs)', '1 mg/L of 0.5 µm PS-MPs (waterborne)', '1 mg/L of 0.5 µm PS-MPs + probiotics 3 g/kg', '1 mg/L of 0.5 µm PS-MPs + probiotics 6 g/kg', '1 mg/L of 0.5 µm PS-MPs + NAC 100 mg/kg/d']",['polystyrene (PS)'],spherical beads,0.5 µm,serum,increased,increased,,,,,,,,,,,increased,,,
19f4792e009af57e,"Investigations of hemato-biochemical and histopathological parameters, and growth performance of walking catfish (Clarias batrachus) exposed to PET and LDPE microplastics",in_vivo,False,True,walking catfish,Clarias batrachus,,dietary,"['30 days', '60 days']","['T0 control (commercial feed only)', 'T1 commercial feed + PET fragments (fed separately)', 'T2 PET fragment-mended commercial feed', 'T3 LDPE pellet-mended commercial feed']","['polyethylene terephthalate (PET)', 'low-density polyethylene (LDPE)']","fragments (irregular), pellets (round)",fragments 1-2 mm; pellets 2.9-3.0 mm,serum,increased,increased,,,,,,decreased,increased,increased,,,,,,
0e430344f6df0b8b,"Toxic effects of polyethylene microplastics on transcriptional changes, biochemical response, and oxidative stress in common carp (Cyprinus carpio)",in_vivo,False,True,common carp,Cyprinus carpio,,water,['30 days'],"['0 μg L−1', '175 μg L−1', '350 μg L−1', '700 μg L−1', '1400 μg L−1']",['High-density polyethylene (PE100)'],powder,<0.2 mm,plasma,increased (350-1400 μg L−1),increased (350-1400 μg L−1),increased (350-1400 μg L−1),increased (350-1400 μg L−1),,,increased (700 and 1400 μg L−1),increased (700 and 1400 μg L−1),"increased (350, 700, 1400 μg L−1)",,increased (350-1400 μg L−1),,,,,
8fcafc1f10d75406,Individual and combined effects of microplastics and diphenyl phthalate as plastic additives on male goldfish: A biochemical and physiological investigation,in_vivo,False,True,goldfish,goldfish,male,waterborne,['28 days'],"['Control (no MPs, no DPP)', 'DPP 2.5 µL/L', 'DPP 5.0 µL/L', 'DPP 7.5 µL/L', 'MPs 20 mg/L', 'MPs 40 mg/L', 'DPP 2.5 µL/L + MPs 20 mg/L', 'DPP 2.5 µL/L + MPs 40 mg/L', 'DPP 5.0 µL/L + MPs 20 mg/L', 'DPP 5.0 µL/L + MPs 40 mg/L', 'DPP 7.5 µL/L + MPs 20 mg/L', 'DPP 7.5 µL/L + MPs 40 mg/L']","['HDPE', 'high-density polyethylene (HDPE)']",powder,15-25 µm (average <0.02 mm),plasma,increase,mixed,mixed,mixed,mixed,mixed,increase,mixed,mixed,,mixed,,,,,
6664f21727078c4f,German Congress of Laboratory Medicine: 19th Annual Congress of the DGKL and 6th Symposium of the Biomedical Analytics of the DVTA e. V. together with the 6th German POCT-Symposium,ex_vivo,False,False,synovial fluid samples from artificial joints,unknown,,,[],[],"['polyethylene', 'polystyrene', 'silicone derivates', 'silicone derivatives']",,<10 μm,,,,,,,,,,,,,,,,,
e4341d58204e2762,Single and combined toxicity of tadalafil (Cilais) and microplastic in Tilapia fish (Oreochromis niloticus),in_vivo,False,True,fish,Oreochromis niloticus,,waterborne,['15 days'],"['control (water only)', '10 mg/L PE-MPs', '20 mg/L tadalafil', '20 mg/L tadalafil + 10 mg/L PE-MPs']",['polyethylene'],,,serum,increased,increased,,,,,,,increased,,increased,,increased,,,
e0d7fd17d9a5a9f6,PEER-REVIEWED CERTIFICATION,in_vivo,False,True,Wistar rats,rat,male,drinking water,"['4 weeks', '28 days']","['0.5 mg/L (drinking water)', '5 mg/L (drinking water)', '50 mg/L (drinking water)']","['polystyrene', 'polystyrene (PS)', 'polyethylene (PE)', 'polypropylene (PP)']",sphere-shaped,1 μm diameter,blood,,,,,,,,,decreased (dose-dependent),,,,,,,
8fded77eafd0487e,"Effects of potentially toxic metals on fish physiology, histopathology and impact on human health",unknown,False,True,fish,multiple fish species,,,[],[],[],,,serum and plasma,increase,increase,,,decrease,,decrease,decrease,increase,,,,,,,
d8647959dee719b3,Toxicity Effects of Microplastics Individually and in Combination the Fish Pathogen Yersinia Ruckeri on the Rainbow Trout (Oncorhynchus Mykiss),in_vivo,False,True,juvenile rainbow trout,Oncorhynchus mykiss,,waterborne,['30 days'],"['Control (no MPs, no Y. ruckeri)', '5% LD50 of Y. ruckeri', '10% LD50 of Y. ruckeri', '500 mg kg-1 MPs', '1000 mg kg-1 MPs', '5% LD50 Y. ruckeri + 500 mg kg-1 MPs', '5% LD50 Y. ruckeri + 1000 mg kg-1 MPs', '10% LD50 Y. ruckeri + 500 mg kg-1 MPs', '10% LD50 Y. ruckeri + 1000 mg kg-1 MPs']",['High-density polyethylene (PE100)'],powder,<0.2 mm,plasma,increase,increase,increase,decrease,decrease,decrease,decrease,increase,increase,,increase,,increase,,,
236435fa34b87992,Attenuation of Rat Colon Carcinogenesis by Styela plicata Aqueous Extract. Modulation of NF-κB Pathway and Cytoplasmic Sod1 Gene Expression,in_vivo,False,True,Sprague-Dawley rats,Rat,male,,[],[],"['xylan', 'mucopolysaccharides']",,,serum,,increased,,,,,,,,,,,,,,
5f0cf8648e2ab82f,Review article: Hepatic steatosis and its associations with acute and chronic liver diseases,unknown,False,False,unknown,unknown,,,[],[],[],,smaller than a micrometre in diameter,,,,,,,,,,,,,,,,,
b442dcb3ea10fcf3,Analysis of Biodistribution and in vivo Toxicity of Varying Sized Polystyrene Micro and Nanoplastics in Mice,in_vivo,False,True,BALB/c mice,mouse,,gavage (intragastric administration),['28 days'],"['PS50 10 mg/kg BW', 'PS50 1 mg/kg BW', 'PS100 10 mg/kg BW', 'PS100 1 mg/kg BW', 'PS500 10 mg/kg BW', 'PS500 1 mg/kg BW']",['polystyrene'],spherical,"50 nm, 100 nm, 500 nm",serum,,,,,decreased,,decreased,,increased,increased,increased,,,,,
c444b54a3d659e7a,Protective Role of Dietary Anthocyanidin Against Genotoxicity and Hepatotoxicity Influenced by Imidacloprid in the Nile Tilapia,in_vivo,False,True,juvenile Nile tilapia,Oreochromis niloticus,,,['30 days'],[],"['agarose', 'fish gel (gelatin)', 'paraffin']",,,serum,increased,increased,,,decreased,increased,,,,,,,,,,
9e0db596c95663ff,"Growth performance, hematological and oxidative stress responses in Nile tilapia (Oreochromis niloticus) exposed to polypropylene microplastics",in_vivo,False,True,fish,Oreochromis niloticus (Nile tilapia),,dietary (via feed),['7 weeks'],"['Control (no plastics)', 'Low (1.5 g PP/kg feed)', 'Medium (3.0 g PP/kg feed)', 'High (4.5 g PP/kg feed)']","['Polypropylene (PP)', 'polypropylene']",powdered fragments,0.2-1 mm,blood and serum,,,,,,,increase,,increase,,increase,,,,,
4c6b6df2cf90bdb6,Toxicological effects of microplastics in renal ischemiareperfusion injury,in_vivo,False,True,mouse unilateral renal ischemia-reperfusion (UIR) model with long-term microplastic exposure,mouse (ICR),male,oral,"['12 weeks MPs exposure', 'serum collected 1 week after IR']","['Group 3: 0.5 μm MPs, 1 mg/L', 'Group 4: IR injury with 0.5 μm MPs, 1 mg/L']","['polystyrene', 'Polystyrene']",,0.5 μm,serum,,,,,,,,,,slightly increased; not significant,slightly increased; not significant,,,,,
b312fa254d370fd2,Combined exposure to lead and microplastics increased risk of glucose metabolism in mice via the Nrf2/NF-κB pathway,in_vivo,False,True,mice,mouse,,drinking water,['6 weeks'],"['Control: distilled water', 'Pb: 100 mg/L in water', 'MPs: 10 mg/L PE+PVC in water', 'Pb+MPs: 100 mg/L Pb + 10 mg/L PE+PVC in water']","['polyethylene', 'polyvinyl chloride', 'Polyethylene (PE)', 'Polyvinyl chloride (PVC)']",,6.5 μm diameter,serum,increased,increased,,,no significant change,increased,no significant change,no significant change,no significant change,,,,,,,
37cf7127995621f6,"Wistar Rats Hippocampal Neurons Response to Blood Low-Density Polyethylene Microplastics: A Pathway Analysis of SOD, CAT, MDA, 8-OHdG Expression in Hippocampal Neurons and Blood Serum Aβ42 Levels",in_vivo,False,True,Wistar rats,Wistar rats,,oral,['90 days'],"['control', '0.0375 mg', '0.075 mg', '0.15 mg', '0.3 mg', '0.6 mg']",['Low-density polyethylene'],"irregular, sharp-edged",<20 μm,serum,,,,,,,,,,,,,,,,
abfb919690741e40,Curcumin: A Potential Detoxifier Against Chemical and Natural Toxicants,unknown,False,False,,,,,[],[],"['polyacrylamide', 'epoxy resins', 'polycarbonate plastics', 'polyethylene glycol (PEG)', 'polymeric nanoparticles', 'polymeric conjugates']",,,,,,,,,,,,,,,,,,,
bc8f30c037230cb4,Thyroid endocrine status and biochemical stress responses in adult male Wistar rats chronically exposed to pristine polystyrene nanoplastics †,in_vivo,True,True,Adult male Wistar rats,Wistar rat,male,oral gavage,['35 days'],"['1 mg/kg/day', '3 mg/kg/day', '6 mg/kg/day', '10 mg/kg/day']",['polystyrene'],spherical,25 and 50 nm nominal; hydrodynamic diameter ~38.92 nm,serum,increase,increase,,,decrease,increase,increase,,,,increase,,,,,
5148e713794e3cc3,TesiDottorato_MarchiArianna.pdf,in_vivo,False,True,fish,Meagre,,,[],"['C (control)', 'PEA 7%', 'PEA 18%', 'PEA 27%']",[],,3 mm; 0.5 mm,plasma,,,,,,,,,higher in control; lower in PEA27%,,,,,,,
847a234800c45616,World Journal of Diabetes,unknown,False,True,review article,"human, mouse, rat",,,[],[],"['polyethylene', 'polyethylene terephthalate', 'polyvinyl acetate', 'polyvinyl chloride']",,,blood,,,,,,increased,,increased,increased,,,,increased,,,
ba51cf4187ee2f89,World Journal of Hepatology,unknown,False,False,unknown,unknown,,,[],[],"['polystyrene', 'polyethylene glycol', 'chitosan', 'nanocellulose']","various (mesoporous, nanorods, rod-shaped rutile, agglomerated)",various (4-1000 nm),,,,,,,,,,,,,,,,,
167f6b559679c013,"The protective role of virgin olive oil and vitamin E on mercury-induced hepatic, renal, testicular and adrenal toxicity in the rabbit (Oryctolagus cuniculus)",in_vivo,False,True,rabbit,Oryctolagus cuniculus,male,gavage,['30 days'],"['Control (group C): standard diet', 'Group M: HgCl2 0.25 mg/kg b.w.', 'Group O: HgCl2 0.25 mg/kg b.w. + virgin olive oil 3 ml/kg b.w.', 'Group E: HgCl2 0.25 mg/kg b.w. + vitamin E 3 mg/kg b.w.']",['polyethylene'],,,plasma,decreased,decreased,decreased,,,,increased,increased,,increased,increased,,,,,
b341a0942085fe43,"Reduced Glutathione Promoted Growth Performance by Improving the Jejunal Barrier, Antioxidant Function, and Altering Proteomics of Weaned Piglets",in_vivo,False,True,weaned barrow piglets,pig,barrow,diet,['28 d'],"['CON (basal diet)', 'ABX (basal diet + 75 mg/kg chlortetracycline)', 'GSH1 (50 mg/kg GSH)', 'GSH2 (65 mg/kg GSH)', 'GSH3 (100 mg/kg GSH)']",[],,1.6 μm,plasma,,increased in ABX vs CON; decreased in GSH1 and GSH2 vs ABX; decreased in GSH3 vs CON and ABX,,,,,increased in GSH2 vs CON,increased in GSH2 vs CON,decreased in GSH2 vs CON,,,,,,,
